# Costco Wholesale Corporation (COST) daily historical prices from Yahoo Finance
# Generated on: 2026-02-17T15:42:33
# Period: Last 2 years from today
Price	Close	High	Low	Open	Volume
Ticker	COST	COST	COST	COST	COST
Date					
2024-08-21	874.486267	884.109974	870.319294	873.811624	1465500
2024-08-22	870.656616	877.045958	866.311067	875.359319	1440900
2024-08-23	872.293701	877.601591	864.812976	875.547868	1305800
2024-08-26	885.489075	886.223244	874.506150	876.222521	1737000
2024-08-27	901.750183	911.701251	880.091891	885.667677	2098900
2024-08-28	881.064087	905.043935	874.724340	903.793898	1668400
2024-08-29	879.655273	893.376496	878.206737	883.990892	1709900
2024-08-30	885.360046	889.278986	876.153019	883.494831	1933500
2024-09-03	871.658752	889.834646	867.561236	889.626276	1784200
2024-09-04	883.018677	884.744979	869.694331	870.547551	1425200
2024-09-05	879.010437	881.639615	861.866401	881.639615	1998800
2024-09-06	869.783569	886.173634	864.148258	884.248892	2074600
2024-09-09	889.437683	891.759302	874.764052	877.780115	1954000
2024-09-10	887.255066	893.604745	880.538363	885.578358	1360800
2024-09-11	893.317017	894.904406	870.964220	887.959472	1796100
2024-09-12	907.831909	908.496622	889.457578	893.336793	1867300
2024-09-13	908.794189	916.562611	902.206409	906.442838	1327500
2024-09-16	900.728149	915.372048	898.227954	914.746999	1661000
2024-09-17	890.211548	901.452376	888.405858	901.283730	1387000
2024-09-18	885.498962	897.860906	883.941306	892.860576	1338200
2024-09-19	893.654236	898.009716	888.455466	897.146565	1747500
2024-09-20	899.845093	900.668580	888.653860	894.477678	4658200
2024-09-23	909.865784	912.266730	893.694020	899.845199	1697600
2024-09-24	894.447876	905.589575	890.469472	904.835544	2432600
2024-09-25	901.273865	903.198606	894.041234	895.896518	1728100
2024-09-26	894.348816	902.087445	891.064856	898.178437	2738600
2024-09-27	878.653198	886.461283	867.124613	886.233112	3459100
2024-09-30	879.546204	902.841479	874.476355	884.358027	2142900
2024-10-01	870.478088	880.012477	865.884505	878.286174	1836700
2024-10-02	871.619080	874.297792	860.338466	867.769597	1317100
2024-10-03	868.781494	874.248159	865.805094	867.561189	1451900
2024-10-04	876.163025	877.333735	868.781549	871.083306	1516400
2024-10-07	866.717834	880.726753	865.467737	874.664772	1963200
2024-10-08	883.415466	884.298480	869.803424	869.803424	1697900
2024-10-09	901.948486	902.841431	880.885513	885.221131	1956500
2024-10-10	886.600281	902.841502	884.824384	902.841502	1765800
2024-10-11	882.036438	887.463379	878.534178	887.463379	1527300
2024-10-14	882.760742	888.128158	879.288275	885.429584	1431500
2024-10-15	887.572510	893.565035	882.552317	885.072375	1613900
2024-10-16	880.399414	884.318353	872.581397	882.919411	1475500
2024-10-17	878.325745	888.286803	875.855342	884.546440	1321500
2024-10-18	882.562195	883.603923	876.797902	878.792100	1654000
2024-10-21	879.794250	884.387833	876.748393	882.006689	1184900
2024-10-22	886.461304	887.850315	877.353526	883.971039	1189700
2024-10-23	892.096619	898.555417	887.949508	888.971435	2193500
2024-10-24	886.391846	896.392568	881.272464	894.408301	1649600
2024-10-25	884.209106	894.527318	882.998733	888.604311	1425800
2024-10-28	883.951233	888.941633	882.998763	888.941633	912500
2024-10-29	880.012451	884.159562	867.213966	882.998783	1361700
